INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 00:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 00:52:57+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 00:43:50+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 00:26:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 01:57:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:56:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:42:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:32:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:52:57+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:43:50+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:26:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:57:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:56:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:42:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:32:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
