INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:39:25+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:52:57+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:43:50+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:26:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:57:20+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 00:56:20+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 00:42:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 00:32:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:39:25+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:52:57+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:43:50+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:26:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:57:20+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, false, true, '2025-04-17 01:56:20+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 01:42:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 01:32:58+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO storage (service_id, upload, download, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
